term-or-expression,explicit-or-implicit,pt-brazilian-portuguese,pt-contextual-label,pt-hate-label,pt-deeply-culture-rooted,en-american-english,en-contextual-label,en-hate-label,es-latin-spanish,es-contextual-label,es-hate-label,fr-african-french,fr-contextual-label,fr-hate-Label,ge-german,ge-contextual-label,ge-hate-Label,tu-turkish,tu-contextual-label,tu-hate-Label,Meaning Sources
term,explicit,foda-se,1,0,0,fuck it,1,0,jodete,1,0,putain de ,1,0,Scheiße/ Verdammt,1,0,Siktir et,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+it
term,explicit,jegue,0,0,0,dumbass,0,0,burro,0,0,0,0,0,Vollidiot,0,0,Sersem,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/jegue/
term,explicit,nojo,0,0,0,yuck,0,0,asco,0,0,dégoût,0,0,Ekel,0,0,İğrenç,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/nojo/
term,explicit,lixo,0,0,0,garbage,0,0,basura,0,0,0,0,0,Müll / menschlicher Abfall,0,0,pislik,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/lixo/
term,explicit,crápula,1,0,0,bastard,1,0,sinverguenza,1,0,salaud,1,0,Dreckskerl,1,0,dolandırıcı,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/cr%C3%A1pula/
term,explicit,bandido,1,0,0,thug,1,0,bandido,1,0,bandit,1,0,Dieb / Gangster,1,0,haydut,1,0,https://www.dicio.com.br/bandido/
term,explicit,corja,0,0,0,scorn,0,0,chusma,1,0,0,0,0,Gesindel / Pack,0,0,ayak takımı,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/corja/
term,explicit,trapaceiro,1,0,0,cheater,1,0,tramposo,1,0,infidèle,1,0,Betrüger,1,0,dolandırıcı,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/trapaceiro/
term,explicit,maldito,1,0,0,damned ,1,0,maldito,1,0,maudit,1,0,Ausgestoßener / Verdammter,1,0,lanet olsun,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/maldito/
term,explicit,familicia,1,partyism,1,0,1,partyism,0,0,partyism,0,1,partyism,0,1,partyism,0,1,partyism,"""term used to refer to Bolsonaro's family"""
term,explicit,fiofó,1,0,0,arse,1,0,0,0,0,0,0,0,Arsch,1,0,anüs,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/fiof%C3%B3/
term,explicit,arrombar,0,0,0,to drill,0,0,0,0,0,0,0,0,0,0,0,aşağılamak,0,0,https://www.dicio.com.br/arrombar/
term,explicit,fuder,1,0,0,fuck,1,0,joder,1,0,putain de ,1,0,ficken,1,0,kahretsin,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/foder/
term,explicit,foder,1,0,0,fuck,1,0,joder,1,0,putain de ,1,0,ficken,1,0,kahretsin,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/foder/
expression,explicit,vá se fuder,1,0,0,fuck you,1,0,vete a la mierda,1,0,va te faire foutre !,1,0,Du kannst mich mal kreuzweise (am Arsch lecken),1,0,git kendini becer,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-you-them-it?q=fuck+it
term,explicit,doida,1,0,0,fool,1,0,loca,1,0,fou,1,0,Irrer / Verrückter / Wahnsinniger,1,0,deli,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fool
term,explicit,doido,1,0,0,fool,1,0,loco,1,0,folie,1,0,geistige Umnachtung,1,0,deli,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fool
term,explicit,miliciano,1,0,0,militiamen,1,0,miliciano,1,0,milicien,1,0,no-translation,1,0,0,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/miliciano/
expression,explicit,sangue suga,0,0,0,parasite,0,0,sanguijuela,0,0,0,0,0,Parasit/Ungeziefer ,0,0,kan emici,0,0,https://michaelis.uol.com.br/palavra/w40k8/sanguessuga/
expression,explicit,sanguessuga,0,0,0,leech,0,0,sanguijuela,0,0,sangsue,0,0,0,0,0,sülük,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/leech
expression,explicit,lambem o saco,1,0,0,ass kissers (adj) / to kiss someone's ass (v),1,0,lamben los huevos,1,0,il/elles lèchent le sac,1,0,Lutsch meinen Schwanz,1,0,enayi,1,0,https://www.dicionarioinformal.com.br/lambe+saco/
term,explicit,criatura,0,0,0,creature,0,0,criatura,0,0,créature,0,0,Kreatur,0,0,yaratık,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/creature
term,explicit,peste,0,0,0,plague,0,0,plaga,0,0,peste,0,0,...wie die Pest,0,0,veba,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/peste/
term,explicit,ladrão,1,0,0,thief,1,0,ladrón,1,0,voleur,1,0,Dieb  ,1,0,hırsız,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/thief
term,explicit,ladra,1,0,0,thief,1,0,ladrona,1,0,0,0,0,Diebin,1,0,hırsız,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/ladra/
term,explicit,ladrona,1,0,0,thief,1,0,ladrona,1,0,0,0,0,Dieb,1,0,hırsız,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/ladrona/
term,explicit,safado,1,0,0,manwhore,1,0,cabrón,1,0,fripouille,1,0,Schurke,1,0,utanmaz,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/safado/
term,explicit,asqueroso,1,0,0,disgusting,1,0,asqueroso,1,0,dégoûtant,1,0,bösartig (Person),1,0,mide bulandırıcı,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/asqueroso/
term,explicit,asquerosa,1,0,0,disgusting,1,0,asquerosa,1,0,dégoûtant,1,0,bösartig (Person),1,0,kirli,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/asqueroso/
term,explicit,verme,0,0,0,worm,0,0,parasito,0,0,ver de terre,0,0,Parasit/Ungeziefer ,0,0,parazit,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/verme/
term,explicit,traste,1,0,0,loser,1,0,basura,0,0,frette,1,0,Loser / Verlierer,1,0,haydut,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/traste/
term,explicit,marmiteira,0,0,0,grunt,0,0,entregador de comida,0,0,plateau à muffins,0,0,0,0,0,öğle yemeğini sefer tası ile alan işçi (kadın),0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/marmiteiro/
term,explicit,marmiteiro,0,0,0,grunt,0,0,entregador de comida,0,0,marmite,0,0,0,0,0,öğle yemeğini sefer tası ile alan işçi,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/marmiteiro/
term,explicit,pedaço de estrume,1,0,0,piece of shit ,1,0,pedazo de mierda,1,0,espèce de fumier,1,0,Miststück,1,0,bok parçası,1,0,"https://en.wiktionary.org/wiki/piece_of_shit#:~:text=Noun,and%20get%20your%20money%20back."
term,explicit,burro,0,0,0,dumbass / dumb / stupid,0,0,burro,0,0,0,0,0,Trottel (?),0,0,aptal,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/burro/
term,explicit,desgraça,0,0,0,doom,0,0,desgracia,0,0,malheur,0,0,Schande,0,0,rezalet,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/desgra%C3%A7a/
term,explicit,disgraça,0,0,0,damnit,0,0,deshonra,0,0,déshonneur,0,0,Schande,0,0,rezalet,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/dammit?q=damnit
term,explicit,desgraca,0,0,0,disgrace,0,0,desgracia,0,0,0,0,0,Schande,0,0,rezalet,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/disgrace
term,explicit,petesada,1,partyism,1,libtard,1,partyism,0,,partyism,0,1,partyism,0,1,partyism,0,1,partyism,"""term used in a pejorative way to refer to people from the left (also known as democrats) party in Brazil"""
term,explicit,jumenta,0,0,0,dumbass,0,0,burra,,0,âne,0,0,Trottel,0,0,aptal kadın,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/jumenta/
term,explicit,jumento,0,0,0,dumbass,0,0,burro,,0,âne,0,0,Trottel,0,0,aptal,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/jumento/
term,explicit,malandro,1,0,0,sleezy,1,0,travieso,,0,fripouille,1,0,Gauner,1,0,haydut,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/malandro/
term,explicit,bolsomerda,1,partyism,1,0,1,partyism,0,,partyism,0,1,partyism,0,1,partyism,0,1,partyism,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -merda- (shit)"""
term,explicit,bolsotario,1,partyism,1,0,1,partyism,0,,partyism,0,1,partyism,0,1,partyism,0,1,partyism,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -otário- (shit)"""
term,explicit,bolsootarios,1,partyism,1,0,1,partyism,0,,partyism,0,1,partyism,0,1,partyism,0,1,partyism,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -otário- (sucker)"""
expression,explicit,tá tomando no cú,1,0,0,getting fucked in the ass,1,0,te está tomando por el culo,,0,prends ça dans le cul,1,0,Steck es dir in den Arsch,1,0,götüne sok,1,0,"""a term used in Brazil and derived from agglutination process between -Bolsonaro- and -otário- (sucker)"""
term,explicit,meleca,0,0,0,bogie,0,0,moco,,0,épouventail,0,0,0,0,0,sümük,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/meleca/
term,explicit,asno,0,0,0,donkey,0,0,asno,,0,cul,0,0,Arsch,0,0,erkek eşek,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/asno/
expression,explicit,lixo do caralho,1,0,0,fucking garbage,1,0,basura,,0,tas de merde,1,0,Ein Haufen Scheiße (sein),1,0,lanet çöp,1,0,https://context.reverso.net/translation/english-portuguese/fucking+garbage
term,explicit,cabra,0,0,0,beast,0,0,cabra,,0,chèvre,0,0,(blöde) Ziege,0,0,keçi,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/beast
term,explicit,boçal,1,0,0,crass,1,0,0,,0,0,0,0,0,0,0,aptal herif,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BO%C3%87AL/
term,explicit,repugnante,1,0,0,repulsive,1,0,repugnante,,0,répugnant,1,0,abstoßende Person,1,0,iğrenç,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/repugnante/
term,explicit,aloprada,0,0,0,reckless,0,0,demente,,0,0,0,0,0,0,0,deli,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/aloprado/
term,explicit,aloprado,0,0,0,reckless,0,0,demente,,0,0,0,0,0,0,0,0,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/aloprado/
term,explicit,mimimi,1,0,1,whining,1,0,0,,0,0,0,0,mimimi / Heulsuse,1,0,0,0,0,https://www.significados.com.br/mimimi/
expression,explicit,puxar o tapete,0,0,0,backlash,0,0,estropear,,0,tirer la couverture sur soi,0,0,0,0,0,sırtından vurmak,0,0,https://www.dicionariopopular.com/puxar-tapete/
expression,explicit,inveja da peste,1,0,1,green with envy,1,0,envidia de la peste,,0,envie de peste,1,0,...wie die Pest,1,0,veba kıskançlığı,1,0,https://idioms.thefreedictionary.com/green+with+envy
expression,explicit,mágoa reprimida,0,0,0,hard feelings,0,0,frustrada,,0,chagrin refoulé,0,0,0,0,0,bastırılmış kin,0,0,https://www.significados.com.br/magoa/
term,explicit,escrota,1,0,0,bitch,1,0,sucia,,0,fouineur,1,0,Schmarotzer,1,0,piç,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/escroto/
term,explicit,escroto,1,0,0,jerk,1,0,escroto,,0,scrotum,1,0,(Hoden)Sack,1,0,testis torbası,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/escroto/
term,explicit,podre,0,0,0,rotten,0,0,podrido,,0,pourri,0,0,verrotte,0,0,çürük,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/podre/
term,explicit,fanático,0,0,0,fanatic,0,0,fanático,,0,fanatique,0,0,Fanatiker (?),0,0,fanatik,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/fan%C3%A1tico/
term,explicit,fanática,0,0,0,fanatic,0,0,fanática,,0,fanatique,0,0,Fanatikerin (?),0,0,fanatik,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fanatic
expression,explicit,duzinferno,1,0,1,helluva,1,0,0,,0,0,0,0,0,0,0,cehennemden gelen,1,0,https://www.dicionarioinformal.com.br/duzinferno/
expression,explicit,vai a merda,1,0,0,suck it and see,1,0,vete a la mierda,,0,va te faire foutre !,1,0,Fick dich / Du kannst mich mal,1,0,siktir git,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/suck-it-and-see?q=suck+it
expression,explicit,vai pro inferno,1,0,0,go to hell,1,0,vete al infierno,,0,allez au diable !,1,0,Fahr zur Hölle,1,0,cehenneme git,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/go-to-hell
term,explicit,pitaco,0,0,0,to nose in (v) / nosey ,0,0,criticar,,0,astuce,0,0,0,0,0,am,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/pitaco/
term,explicit,calhota,1,0,0,scumbag,1,0,0,,0,0,0,0,Drecksack,1,0,sahtekar,1,0,https://www.dicionarioinformal.com.br/calhota/
expression,explicit,chata pra caralho,1,0,0,fucking annoying,1,0,muy aburrida,,0,c'est chiant à mourir,1,0,scheißlangweilig / Langweiler,1,0,çok sıkıcı,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-off?q=fucking+off
expression,explicit,chato pra caralho,1,0,0,fucking off,1,0,muy aburrido,,0,putain c'est chiant,1,0,scheißlangweilig / Langweilerin,1,0,çok sıkıcı,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck-off?q=fucking+off
expression,explicit,bunda mole,1,0,0,wimp,1,0,cobarde,,0,cul doux,1,0,Knackarsch,1,0,ödlek,1,0,https://www.dicionarioinformal.com.br/bunda%20mole/
term,explicit,esperneia,0,0,0,make a scene,0,0,patalea,,0,soupirs,0,0,eine Szene machen,0,0,0,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/espernear/
term,explicit,veneno,0,0,0,shade,0,0,veneno,,0,poison,0,0,Gift (?),0,0,zehir,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/veneno/
term,explicit,baderna,1,0,0,mess,1,0,alboroto,,0,émeutes,1,0,Krawall (?),1,0,isyan,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BADERNA/
term,explicit,baderneiro,1,0,0,troublemakers,1,0,alborotador,,0,fauteur de troubles,1,0,Krawallschachtel,1,0,umursamaz,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BADERNEIRO/
term,explicit,babaca,1,0,0,jerk,1,0,idiota,,0,trou du cul,1,0,Schwachsinnig,1,0,adi herif,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BABACA/
term,explicit,mesquinha,1,0,0,petty,1,0,tacaña,,0,avare,1,0,Geizhals,1,0,pinti,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/mesquinho/
term,explicit,mesquinho,1,0,0,petty,1,0,tacaño,,0,avare,1,0,Geizhals,1,0,pinti,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/mesquinho/
term,explicit,traíra,0,0,0,backstabber,0,0,traidor,,0,0,0,0,Verräter,0,0,hain,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/tra%C3%ADra/
term,explicit,traíras,0,0,0,backstabbers,0,0,traidores,,0,chalutiers,0,0,Verräter,0,0,hainler,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/backstabber?q=backstabbers
term,explicit,burrice,1,0,0,dumb,1,0,estupidez,,0,0,0,0,Dummheit,1,0,aptallık,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/BURRICE/
expression,explicit,cala boca,1,0,0,shut up,1,0,callate,,0,tais-toi !,1,0,Maul halten,1,0,kapa çeneni,1,0,https://www.dicionarioinformal.com.br/cala%20a%20boca/
expression,explicit,cala a boca,1,0,0,shut up,1,0,cierra la boca,,0,tais-toi !,1,0,Halt dein Maul,1,0,kapa çeneni,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/shut-sb-up?q=shut+up
expression,explicit,cala essa boca,1,0,0,shut the hell up,1,0,cierra la boca,,0,fermez votre gueule !,1,0,Halt deine Fresse,1,0,kapa çeneni,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/shut-sb-up?q=shut+up
expression,explicit,cala sua boca,1,0,0,shut your mouth,1,0,cierra la boca,,0,fermez votre gueule !,1,0,Halt deine Fresse,1,0,kapa çeneni,1,0,https://www.dicionarioinformal.com.br/cala%20a%20boca/
term,explicit,mimadinho,1,0,0,spoiled,1,0,mocoso maleducado,,0,gâté,1,0,verzogen,1,0,şımarık,1,0,https://www.dicionarioinformal.com.br/mimadinho/
term,explicit,bunda,1,0,0,ass,1,0,culo,,0,cul,1,0,Arsch,1,0,göt,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/ass
term,explicit,esquerdopata,1,partyism,1,libtard,1,partyism,0,,partyism,gauchiste,1,partyism,0,0,0,solcu,1,partyism,https://www.dicionarioinformal.com.br/esquerdopata/
term,explicit,zé ruela,1,0,1,loser / fool,1,0,insignificante,,0,0,0,0,Loser / Verlierer,1,0,ezik,1,0,https://www.dicionarioinformal.com.br/z%C3%A9%20ruela/
term,explicit,caraí,1,0,0,shit,1,0,0,,0,0,0,0,Scheiße,1,0,bok,1,0,https://www.dicionarioinformal.com.br/cara%C3%AD/
term,explicit,karai,1,0,0,shit,1,0,0,,0,0,0,0,Scheiße,1,0,bok,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/shit
term,explicit,almofadinha,0,0,0,fancy pants,0,0,ricachón,,0,coussin,0,0,Schnösel,0,0,zübbe,0,0,https://www.dicionarioinformal.com.br/almofadinha/
term,explicit,se enxerga,0,0,0,get your head out of your ass,0,0,0,,0,0,0,0,Nimm den Stock aus dem Arsch,0,0,0,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/gentalha/
term,explicit,cara de pau,1,0,0,shameless,1,0,cara de palo,,0,sans vergogne,1,0,schamlos ,1,0,utanmaz,1,0,https://www.dicionarioinformal.com.br/cara%20de%20pau/
term,explicit,gentalha,1,0,0,(white) trash,1,0,gentuza,,0,racaille,1,0,Abschaum,1,0,pislik,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/gentalha/
term,explicit,estúpido,1,0,0,rude,1,0,estúpido,,0,stupide,1,0,Idiot ,1,0,aptal,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/est%C3%BApido/
term,explicit,estúpida,1,0,0,rude,1,0,estúpida,,0,stupide,1,0,Idiotin ,1,0,geri zekalı,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/rude
term,explicit,escárnio,1,0,0,shade,1,0,burla,,0,moquérie,1,0,Verspotten,1,0,alay,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/esc%C3%A1rnio/
term,explicit,caí fora,0,0,0,beat it,0,0,lo dejé,,0,je suis sorti,0,0,0,0,0,defol git,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/beat-it
term,explicit,picuinha,1,0,0,beef,1,0,quisquillosa,,0,0,0,0,0,0,0,dırdır etmek,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/picuinha/
expression,explicit,globolixo,1,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,"""a term used in Brazil and derived from agglutination process between -globo (tv company in Brazil)- and -lixo- (garbage)"""
expression,explicit,globo lixo,1,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,"""a term used in Brazil and derived from agglutination process between -globo (tv company in Brazil)- and -lixo- (garbage)"""
term,explicit,porra,0,0,0,fuck,0,0,mierda,,0,putain,0,0,Hure / Nutte,0,0,kahretsin,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/fuck
expression,explicit,não presta,0,0,0,worthless,0,0,no sirve,,0,pas bien,0,0,Nutzlos/Wertlos,0,0,tırt,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/worthless
expression,explicit,dor de cotovelo,0,0,0,be green with envy,0,0,mal perdedor,,0,raisins acides,0,0,Grün vor Eifersucht,0,0,kıskançlık,0,0,https://dictionary.cambridge.org/pt/dicionario/ingles/be-green-with-envy
expression,explicit,que nojo,1,0,0,yuck,1,0,que asco,,0,répugnant,1,0,abstoßend (Person),1,0,mide bulandırıcı,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/yuck
term,explicit,lixo humano,1,0,0,garbage human,1,0,basura humana,,0,déchet humains,1,0,menschlicher Abfall,1,0,insan müsveddesi,1,0,https://www.urbandictionary.com/define.php?term=Garbage%20Human
expression,explicit,lixo de ser humano,1,0,0,piece of garbage,1,0,basura de ser humano,,0,déchet humains,1,0,menschlicher Abfall,1,0,insan müsveddesi,1,0,"https://en.wiktionary.org/wiki/piece_of_garbage#:~:text=Noun,an%20object%20of%20poor%20quality."
term,explicit,chita,0,racism,0,bigheaded,0,racism,guepardo,,racism,guépard,0,racism,0,0,0,çita,0,racism,https://dictionary.cambridge.org/pt/dicionario/ingles/bigheaded?q=big-headed
expression,explicit,mulher lixo,1,0,0,bitch,1,0,cualquiera,,0,femme vulgaire,1,0,Schlampe,1,0,kaltak,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/bitch
term,explicit,canalhice,1,0,0,fuckery,1,0,canallada,,0,infamie e ,1,0,Schande (sein),1,0,saçmalık,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/canalhice/
expression,explicit,fala só merda,1,0,0,trash-talk,1,0,habla solo mierda,,0,parler de merde,1,0,Scheiße labern / reden,1,0,boktan konuşma,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/trash-talk
term,explicit,facista,0,partyism,0,fascist,0,partyism,facista,,partyism,faciste,0,partyism,Faschist ,0,partyism,faşist,0,partyism,https://dictionary.cambridge.org/pt/dicionario/ingles/fascist
term,explicit,cambada,0,0,0,gang,0,0,pandilla,,0,bouquet de fleur,0,0,0,0,0,çete,0,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/cambada/
term,explicit,bolsonazi,1,partyism,1,Bolsonazi,1,partyism,0,,partyism,0,0,0,0,0,0,0,0,0,"""a term used in Brazil and derived from agglutination process between -bolsonário- and -nazista- (nazi)"""
term,explicit,cafageste,1,0,0,jerk,1,0,grosero,,0,rascal,1,0,Schurke,1,0,hödük,1,0,https://dictionary.cambridge.org/pt/dicionario/ingles/jerk
term,explicit,pilantra,1,0,0,scumbag,1,0,aprovechador,,0,scélérat,1,0,Schurke / Schuft / Gauner,1,0,adi pislik,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/pilantr/
term,explicit,pilantrona,1,0,0,scumbag,1,0,aprovechadora,,0,0,0,0,Schurke / Schuft / Gauner,1,0,adi pislik,1,0,https://michaelis.uol.com.br/moderno-portugues/busca/portugues-brasileiro/pilantr/
expression,explicit,milico de merda,1,partyism,1,milico,0,0,0,,0,0,0,0,0,0,0,0,0,0,"""any member of the armed forces."""
