Portuguese (original),American English,Latin Spanish,African French,German,Turkish,Type,Class,Hate Target
vai trabalhar,get a job,vete a trabajar,se rendre au travail,Such dir erst mal einen Job,iş bul,offensive,0,0
desprezível,miserable,despreciable,méprisable,verachtenswert,rezil,offensive,0,0
ordinário,scumbag,ordinario,ordinaire,vulgär,beş para etmez,offensive,0,0
ordinária,scumbag,ordinaria,ordinaire,vulgär,adi,offensive,0,0
safadona,sleazy,chica sucia,0,schmierig,bayağı,offensive,1,sexism
safadada,sleazy,0,0,schmierig,bayağı,offensive,1,0
safada,shameless,zorra,0,schamlos ,müstehçen,offensive,1,sexism
bando de hipócrita,fucking hipocrites,montón de hipócritas,bande d'hypocrites,Heuchlerbande,lanet olası iki yüzlü,offensive,1,0
hipócrita,hipocrite,hipócrita,hypocrite,Heuchler ,iki yüzlü,offensive,1,0
bando de vagabundo,fucking scums,pandilla de rufianes,bande de vagabonds,Lumpenbande/ Gruppe von Pennern,lanet pislikler,offensive,1,0
que horror,yikes,que terrible,c'est affreux,wie schrecklich,ıyy!,offensive,0,0
vergonhoso,shameful,vergonzoso,honteux,beschämend / schändlich,utanç verici,offensive,0,0
vergonhosa,shameful,vergonzosa,honteux,beschämend / schändlich,utanç verici,offensive,0,0
vândalo,brawler,vándalo,vandalisme,Vandalismus,zorba,offensive,1,0
bunda no sofá,lazy ass,trasero holgazán,cul sur le divan,Couchpotato / Sesselfurzer,tembel göt,offensive,0,0
deplorável,dismal,deplorable,déplorable,bedauernswert,içler acısı,offensive,0,0
babacada,non-sense,0,0,Blödsinn,saçmalık,offensive,1,0
jagunço,thug,bandido,homme armé,Schläger / Dieb,gangster,offensive,0,0
descompassado,misfit,desajustado,0,Außenseiter,dışlanmış,offensive,0,0
não tem moral,immoral,no tiene moral,sans morale,Sittenloser/ Sittenstrolch,ahlaksız,offensive,1,0
infeliz,miserable,infeliz,malheureux,miserabel,bahtsız,offensive,0,0
lalau,sneaky,0,0,0,sinsi,offensive/Brazil,1,0
pinico,potty,orinal,pincée,Schwanz einziehen / Kneifen,lazımlık,offensive,0,0
maluco,madman,loco,folie,Verrückter,deli,offensive,1,0
maluca,mandwoman,loca,folie,Verrückter,deli,offensive,1,0
diabo,devil,diablo,diable,Teufel (0),şeytan,offensive,1,0
toma seu verme,"take that, you worm",0,"prends ça, vermisseau","Nimm das, du Wurm",al bunu seni solucan,swear words,1,0
engulam esquerda,"suck it, leftist",0,avaler à gauche,0,ağzına al,offensive,1,partyism
psicopata,psycho / psychopath,psicopata,psychopathe,Psycho(path),psikopat,offensive,0,0
bêbado,drunk,borracho,ivre,Besoffener/ Trunkenbold,sarhoş,offensive,0,0
tonta,dumbass,tonta,étourdie,Volltrottel,ahmak,offensive,0,0
tonto,dumbass,tonto,imbécile,Schwachkopf,ahmak,offensive,0,0
imbecil,moron,imbecil,imbécile,Schwachkopf,embesil,offensive,1,0
luladrão,0,0,0,0,dolandırıcı,offensive/Brazil,1,partyism
papuda,fibber,mentirosa,prisons,Knasti ,hapishane,offensive,1,0
zé cana brava,0,0,0,0,0,offensive/Brazil,1,0
gangue,gang,pandilla,gang,Bande / Gang,çete,offensive,0,0
imundo,raggedy,inmundo,immonde,Dreckiger ...,çok kirli,offensive,0,0
imunda,raggedy,inmunda,dégoûtant,Dreckige...,çok kirli,offensive,0,0
lularapio,scammer,0,0,0,sahtekar,offensive/Brazil,1,partyism
casa de jaula,cage house,casa de prisión,maison de correction,0,kodes,offensive,0,0
voltar pra jaula,go back tot he cage,regresar a prisión,retour à la prison,Geh zurück in den Knast,kodesine geri dön,offensive,0,0
batendo perna,wandering,revolcándote,0,0,serseri,offensive,0,0
criminoso,criminal,criminal,criminalité,Verbrecher,suçlu,offensive,0,0
lascar,get fucked,astillar,puce,0,siktir git,swear words,1,0
pinguço,drunktard,borracho,0,Trunkenbold,sarhoş kimse,offensive,1,0
egoísta,selfish,egoísta,égoïste,Egoist,bencil,offensive,1,0
vergonha,shame,verguenza,honte à vous,Schande über dich,utanç,offensive,1,0
urubú,vulture,buitre,vautour,(Ihr) Geier,akbaba,offensive,0,0
xilindró,jail,cárcel,géolier,(Du) Flasche,kodes,offensive,1,0
belzebu,Beelzebu,Belcebú,0,Beelzebub,iblis,swear words,0,0
velhaco,oldie,bellaco,voyou,Abtrünniger / Schurke,hergele,offensive,1,0
lulaladrao,0,0,0,0,0,offensive/Brazil,1,partyism
satanás,satan,satanás,satan,Satan / Teufel ,şeytan,offensive,0,0
marginal,thug,.,marginal,0,haydut,offensive,0,0
bem feito,you got what you deserved,bien hecho,bien fait,Du bekommst was du verdienst,hak ettiğini alırsın,offensive,0,0
seu rato,you rat,tu rata,votre souris,Du Ratte,seni sıçan,swear words,1,0
praga,plague,plaga,fléau,Plage/ Plagegeist,veba,offensive,0,0
frouxo,wimp,flojo,détendu,Schlappschwanz ,gevşek,offensive,0,0
tapado,blind fool,tapado,couvert,Blindfisch,kör aptal,offensive,1,0
tapada,blind fool,tapada,0,Blindfisch,kör aptal,offensive,1,0
inferno,hell,infierno,enfer,zur Hölle,cehennem,offensive,0,0
trem a toa,Useless,tren inútil,roue d'engrenage,Nutzlos/Wertlos,kullanışsız,offensive,1,0
alienado,alienated,alienado,aliéné,Alien / Ausserirdischer ,yabancılaşmış,offensive,0,0
mula,donkey,mula,mule,Maultier,katır,offensive,0,0
vai comer pão com mortadela,go have your bread with mortadella,ve a comer pan con mortadela,allez manger du pain avec de la mortadelle,0,0,offensive,0,0
biscate,slut,trabajito,petits travaux,Schlampe,fahişe,offensive,1,sexism
chupar cacete,suck a dick,chupar un pene,bâton de succion,Schwanz lutschen,ağzına al,swear words,1,sexism
vai se tratar,get help,ve a tratarte,allez-y et faites-vous plaisir,such dir Hilfe,git kendini tedavi et,offensive,0,0
carniça,garbage,carroña,charogne,Aas,leş,offensive,0,0
demente,retard,demente,démente,wahnsinnig (0),kaçık,offensive,0,0
nazifascita,nazifascit,nazifacismo,Nazi-fasciste,Nazi-Faschist (0),nazi faşist,swear words,1,partyism
acéfalo,brainlesss,obviedad,acéphale,hirnlos,beyinsiz,offensive,0,0
larápio,liar,ladrón,cambrioleur,Einbrecher,yalancı,offensive,1,0
molusco,0,molusco,mollusque,0,yumuşakça,offensive/Brazil,0,partyism
doente mental,retard,retrasado mental,malades mentaux,Geisteskrank,psikolojik rahatsızlığı olan,offensive,0,0
retardado,retard,retardado,attardé,Behindert,geri zekalı,offensive,0,0
povo besta,stupid people,gente bestia,les gens affreux,Untermensch,aptal insan,offensive,1,0
pau no cú,fucker,palo en el culo,bite dans le cul,fucker,aşağılık herif,swear words,1,0
otário,jerk,idiota,suceur,Lutscher,budala,offensive,1,0
otária,jerk,idiota,suceur,Lutscher,budala,offensive,1,0
bandidão,thug,majadero,bandit,Bandit,haydut,offensive,1,0
bandidona,thug,majadera,bandit,Bandit,haydut,offensive,1,0
mafioso,mafia,mafioso,mafieux,Mafiosi,mafya üyesi,offensive,1,0
pústula,pustule,ampolla,pustule,0,küflenmek,offensive,0,0
tiro no pé,baclfire,tiro en el pie,tirer dans le pied,ins eigene Bein geschossen,kendi bacağından vurulmak,offensive,1,0
defunto putrefato,rotten body,difunto putrefacto,cadavre en décomposition,0,çürük ceset,swear words,0,0
piralha,brat,nenita,0,Gör,velet,offensive,1,0
mimada,spoiled,malcriada,chouchouté,verwöhnt (-es Gör),şımarık çocuk,offensive,1,0
bruxa,witch,bruja,sorcière,Hexe,cadı,offensive,0,sexism
anticristo,anti-christ,anticristo,antéchrist ,Antichrist ,deccal,offensive,0,0
anti cristo,anti-christ,anti cristo,antéchrist ,Antichrist ,deccal,offensive,0,0
ideólogo vermelho,red ideologist,ideólogo rojo,idéologue rouge,0,kızıllar,offensive/Brazil,1,partyism
piranha,slut,puta,piranha,Schlampe,orospu,offensive,0,sexism
não vale nada,worthless,no vale nada,n'a aucune valeur,wertlos,değersiz,offensive,1,0
putaria,fuckery,puteria,prostituée,Prostituierte ,kaltak,offensive,1,sexism
pirralhinha,little brat,mocosa,petit morveux,Rotzlöffel,küçük velet,offensive,1,0
palpite,hunch,corazonada,supposez!,0,önsezi,offensive,0,0
papo furado,juibber jabber,cháchara,bavardage,0,boş konuşma,offensive,0,0
esquerdopata,libtard,izquierdopata,gauchers,0,solcu,offensive/Brazil,1,partyism
massa de manobra,pawns,herramientas para la maniobra,jeu d'enfant,Spielzeug (Person),piyon,offensive,1,0
presunçosa,smug,presunciosa,0,eingebildet,kendini beğenmiş,offensive,1,0
ninfeta,babe,bombón,nymphette,Nymphoman,nemfomanyak,offensive,1,sexism
fantoche,puppet,títere,marionnette,Puppe /Püppchen,kukla,offensive,0,0
sonsa,dull,sonsa,morveux,Rotzlöffel,0,offensive,1,0
bando de pelego,sheeps,banda de ovejas,une bande de radins,Geizhals,koyunlar,offensive,1,0
babava ovo,ass kissing,lameculos,bave d'oeuf,arschkriechen,yalakalık,offensive,1,0
baba ovo,ass kisser ,lameculos,bave d'oeuf,Arschkriecher,yalaka,offensive,1,0
baba-ovo,ass kisser ,lameculos,bave d'oeuf,Arschkriecher,yalaka,offensive,1,0
bolsofanáticos,bolsofans,bolsofanáticos,0,Fanatiker,fanatik,offensive/Brazil,1,partyism
abestalhada,stupid,boquiabierta,0,dumm ,aptal,offensive,1,0
abestalhado,stupid,boquiabierto,dévergondé,dumm ,aptal,offensive,1,0
boca mole,dumb,boca floja,bouche douce,loses Mundwerk,budala,offensive,1,0
falsiane,fake,falsedad,0,falsch,sahte,offensive,1,0
dar moral,bolster,mantener el ánimo,remonter le moral des troupes,0,0,offensive,0,0
dando moral,bolstering,darle ánimo,moralisant,Moralapostel,0,offensive,0,0
peppa,pig,0,0,Schwein,domuz,offensive,0,fatphobia
pepa,pig,0,0,Schein,domuz,offensive,0,fatphobia
pepinhaaaa,piggie,0,0,Sau,dişi domuz,offensive,0,fatphobia
moçoila,twink,mujercita,fille,(richtiges) Mädchen,genç eşcinsel çocuk,offensive,0,0
capinar uma roça,get yourself something to do,0,sarcler un champs,0,0,offensive,0,0
cabeça de vento,light-headed,cabeza hueca,tête en l'air,hohlkopf,sersem,offensive,1,0
falida,broken,arruinada,faillite,kaputt,arızalı,offensive,0,0
caçar o que fazer,get yourself something to do,cazar o que hacer,chasser ce qu'il faut faire,0,0,offensive,1,0
berço de ouro,born with a silver spoon in [pron] mouth,cuna de oro,berceau doré,mit dem goldenen Löffel im Mund geboren sein ,0,offensive,0,0
bode expiatório,scapegoat,chivo expiatório,bouc émissaire,Sündenbock,günah keçisi,offensive,1,0
sem noção,reckless,sin noción,ignorant,Ahnungsloser,beceriksiz,offensive,0,0
porcaria,crap,porquería,pacotille,Schrott / Müll,saçmalık,offensive,1,0
dar ibope,waste time on (something),da que hablar,obtenir beaucoup de publicité,Aufmerksamkeitsgeil,zaman kaybı,offensive,0,0
dá ibope,talk of the town,es popular,c'est populaire,Aufmerksamkeitsgeil,popüler,offensive,0,0
encher o saco,push the buttons,romper las pelotas,s'ennuyer,Langweiler,alay etmek,offensive,0,0
encheu o saco,i've had it ,irritar,s'ennuyer,Langweiler,alay etmek,offensive,0,0
socialista de iPhone,iPhone-stan socilalist,socialista de iPhone,iPhone socialiste,0,iPhone sosyalisti,offensive/Brazil,1,partyism
doutrinado,blind,adoctrinado,endoctriné,0,0,offensive,1,0
doutrinada,blind,adoctrinada,endoctriné,0,0,offensive,1,0
coitado,poor man,pobre,pauvre,Armer Mann / Unterschicht,zavallı adam,offensive,1,0
coitada,poor woman,pobre,pauvre,Arme Frau / Unterschicht,zavallı kadın,offensive,1,0
esquerdopatia,libtard,izquierdopata,0,0,0,offensive/Brazil,1,partyism
inescrupuloso,reckless,inescrupuloso,sans scrupules,Skrupellos,vijdansız,offensive,1,0
se lixando,not giving a fuck,no le importas,se foutre de tout,keinen scheiß geben / sich einen Dreck drum scheren,siklememek,offensive,1,0
aff,ugh,Adult FriendFinder,0,0,öf,offensive,1,0
pioche,sucker,0,pioche,Lutscher,piç,offensive,1,0
não sabe nada,dumb,no sabe nada,ne connaît rien,von nichts wissen,aptal,offensive,0,0
aborrecente,stupid teenagers,molestando,s'ennuyer,sich langweilen,aptal gençler,offensive,1,0
jogando sujo,playing dirty,jugando sucio,jouer sale,0,kirli oynamak,offensive,1,0
bagaceiro,trashdigger,orujo,0,Mülltaucher,çöp karıştırıcı,offensive,1,0
idiota útil,puppets,idiota útil,idiot utile,Marionetten,kukla,offensive,1,0
fedelha,nosey kid,mocosa,morveux,Schreihals,velet,offensive,1,0
meter o nariz,nose in,meter la nariz,mettre son nez dedans,0,burnunu sokmak,offensive,1,0
metendo o nariz,noseing in,metiendo la nariz,mettre son nez dedans,0,burnunu sokma,offensive,1,0
meteu o nariz,nosed in,metió la nariz,a fourré son nez dans,0,burnunu soktu,offensive,1,0
cagada,dumb luck,cagada,merde,0,sıçma,offensive,0,0
puxa saco,ass kisser,adulador,tireur de sacs,Arschkriecher,yalaka,offensive,0,0
zé mané,dumbass,puto demente,imbécile,Vollidiot,salak herif,offensive,1,0
famosinha,it girl,0,0,Zicke,0,offensive,1,0
gorda,fat,gorda,graisse,fett,şişman,offensive,1,fatphobia
chata pra cacete,fucking annoying,aburrido como la mierda,ennuyeux à mourir,fucking nervig,lanet gibi rahatsız edici,offensive,1,0
pé no saco,lingerer ,molestia,casse-pieds,0,baş belası,offensive,0,0
mimadinha,spoiled,niña mimada,choyé,verzogen,şımarık kız,offensive,1,0
bla bla bla,jibber jabber,bla bla bla,bla bla bla,Geschwafel,boş laf,offensive,0,0
blablabla,jibber jabber,blablabla,bla bla bla,Geschwafel,boş laf,offensive,0,0
borra botas,botcher,siervo,boue de botte,Pfuscher,beceriksiz,offensive,1,0
borra-botas,botcher,siervo,Amorçage,Pfuscherin,beceriksiz,offensive,1,0
